
CET,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2006-11-1,41,36,32,34,24,14,93,63,39,30.24,30.08,29.65,6,6,6,25,13,39,0.00,2,Rain-Snow,6
2006-11-2,39,36,32,34,32,30,100,87,70,30.33,30.30,30.24,6,6,6,6,3,,0.00,4,Fog-Rain-Snow,30
2006-11-3,44,38,35,43,36,28,93,85,70,30.33,30.26,30.12,6,6,4,8,4,,0.00,6,Rain,136
2006-11-4,51,48,44,48,45,41,94,85,76,30.09,29.94,29.80,6,6,4,21,11,39,0.00,6,Rain,285
2006-11-5,53,48,44,50,49,43,94,92,82,29.80,29.77,29.71,6,4,2,21,10,34,0.00,6,Rain,281
2006-11-6,51,48,46,50,46,41,94,84,71,29.80,29.78,29.71,6,5,2,22,14,33,0.00,6,Rain,274
2006-11-7,51,45,39,48,42,37,94,88,76,29.80,29.75,29.65,6,6,2,22,11,30,0.00,5,Rain,290
2006-11-8,44,40,35,41,38,34,100,91,87,29.77,29.71,29.68,6,6,6,6,4,,0.00,4,Rain,112
2006-11-9,42,38,35,39,35,32,93,86,76,30.33,30.01,29.68,6,6,6,15,6,28,0.00,4,Rain,56
2006-11-10,48,40,35,46,37,32,93,85,66,30.36,30.01,29.53,6,6,3,29,11,41,0.00,6,Rain,146
2006-11-11,50,44,39,43,37,34,93,80,62,29.53,29.27,29.15,6,6,5,18,8,16,0.00,6,Rain-Hail-Thunderstorm,235
2006-11-12,42,40,37,37,36,34,93,88,76,29.65,29.53,29.21,6,6,6,23,10,37,0.00,5,Rain,29
2006-11-13,50,44,39,45,40,32,93,83,75,29.47,29.06,28.94,6,6,4,18,14,31,0.00,6,Rain,210
2006-11-14,46,44,42,41,37,34,87,75,70,29.36,29.21,29.06,6,6,6,18,15,29,0.00,5,Rain-Thunderstorm,251
2006-11-15,44,42,39,39,39,36,93,85,76,29.50,29.45,29.33,6,6,6,21,7,,0.00,5,Rain-Thunderstorm,143
2006-11-16,53,48,42,50,46,39,94,88,82,29.42,29.19,29.12,6,6,3,26,15,37,0.00,6,Rain,163
2006-11-17,53,48,44,41,38,30,87,68,50,29.50,29.41,29.27,6,6,6,28,13,40,0.00,4,Rain-Thunderstorm,157
2006-11-18,48,44,41,45,39,37,93,85,76,29.65,29.48,29.27,6,6,5,25,18,40,0.00,6,Rain-Thunderstorm,170
2006-11-19,,,,,,,,,,29.71,29.68,29.56,6,6,5,17,9,32,0.00,5,Rain,141
2006-11-20,,,,,,,,,,29.50,29.17,29.09,6,6,6,28,19,41,0.00,5,Rain-Thunderstorm,171
2006-11-21,46,45,44,36,33,32,66,62,57,29.09,29.04,29.03,6,6,5,21,15,32,0.00,5,Rain,138
2006-11-22,50,46,41,37,32,30,71,57,50,29.09,29.05,29.03,6,6,6,8,6,,0.00,4,Rain,83
2006-11-23,48,45,42,41,36,30,93,72,50,29.06,28.95,28.82,6,6,4,17,10,34,0.00,5,Rain,129
2006-11-24,50,48,46,43,41,36,87,77,62,29.36,29.08,28.85,6,6,6,30,21,48,0.00,6,Rain,173
2006-11-25,55,50,46,50,41,34,94,70,51,29.36,29.09,28.88,6,6,4,29,15,38,0.00,6,Rain,153
2006-11-26,50,46,42,45,41,37,87,78,71,29.80,29.48,29.12,6,6,6,26,18,39,0.00,5,Rain-Thunderstorm,221
2006-11-27,51,46,41,48,42,37,94,81,71,29.89,29.81,29.71,6,6,2,24,11,30,0.00,5,Rain,149
2006-11-28,53,52,50,48,46,45,94,82,72,29.80,29.73,29.65,6,6,4,28,18,37,0.00,6,Rain,175
2006-11-29,50,48,46,46,45,41,93,85,71,29.98,29.90,29.77,6,6,2,24,15,43,0.00,5,Rain-Thunderstorm,199
2006-11-30,51,50,50,48,47,43,94,86,76,30.04,29.97,29.86,6,6,4,28,18,39,0.00,6,Rain,198
