
CEST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2007-6-1,57,54,51,54,50,48,88,82,72,30.36,30.22,30.06,6,6,6,7,3,,0.00,6,Rain,276
2007-6-2,64,57,50,50,48,46,94,68,55,30.42,30.40,30.39,6,6,6,8,2,,0.00,6,,336
2007-6-3,68,62,55,52,45,37,82,53,33,30.39,30.39,30.39,,,,12,5,,0.00,,,258
2007-6-4,68,57,46,52,49,43,87,65,46,30.39,30.37,30.33,6,6,6,14,6,,0.00,0,,335
2007-6-5,69,60,51,54,51,50,94,67,49,30.33,30.28,30.24,6,6,6,7,5,,0.00,4,,320
2007-6-6,73,64,55,55,53,48,94,67,46,30.24,30.21,30.21,6,6,6,12,5,,0.00,2,,333
2007-6-7,77,65,53,55,51,48,94,56,38,30.27,30.25,30.24,6,6,6,8,3,,0.00,1,,293
2007-6-8,77,68,60,55,52,48,77,52,36,30.21,30.19,30.15,6,6,6,7,3,,0.00,1,,274
2007-6-9,71,66,62,57,55,50,77,63,49,30.18,30.14,30.09,6,6,6,9,5,,0.00,6,,268
2007-6-10,78,70,62,57,55,52,82,58,44,30.12,30.08,30.04,6,6,6,10,5,,0.00,1,,322
2007-6-11,71,62,53,59,53,48,88,70,53,29.98,29.92,29.86,6,6,6,18,8,31,0.00,2,,292
2007-6-12,55,52,48,45,42,39,76,68,58,29.77,29.72,29.68,6,6,6,15,13,,0.00,6,,336
2007-6-13,53,50,44,39,37,34,76,61,47,29.68,29.66,29.65,6,6,6,16,11,,0.00,3,,339
2007-6-14,53,48,42,39,37,34,81,61,51,29.89,29.80,29.68,6,6,6,17,12,,0.00,2,Fog-Rain,332
2007-6-15,60,52,44,45,40,37,87,63,45,29.89,29.86,29.80,6,6,6,12,8,,0.00,1,,342
2007-6-16,68,56,44,48,42,34,93,54,30,29.80,29.70,29.59,6,6,6,15,6,,0.00,2,,333
2007-6-17,57,55,53,52,50,48,88,85,77,29.74,29.66,29.62,6,6,6,13,6,,0.00,6,Rain,243
2007-6-18,62,58,51,52,50,46,94,75,59,29.86,29.80,29.74,6,6,6,12,5,,0.00,4,,326
2007-6-19,62,55,48,50,48,46,94,74,55,29.98,29.94,29.86,6,6,6,10,6,,0.00,1,,197
2007-6-20,68,57,46,52,46,39,94,64,37,29.98,29.92,29.89,6,6,6,9,5,23,0.00,3,Fog,240
2007-6-21,68,62,57,59,53,45,94,74,46,29.89,29.83,29.80,6,6,6,13,4,,0.00,5,Rain,244
2007-6-22,64,60,57,55,54,52,94,79,64,29.83,29.74,29.65,6,6,6,8,5,,0.00,6,,240
2007-6-23,62,58,55,55,52,48,100,78,63,29.65,29.61,29.59,6,6,6,13,6,,0.00,4,,321
2007-6-24,60,56,53,52,50,48,88,78,63,29.80,29.76,29.65,6,6,6,13,6,,0.00,5,,328
2007-6-25,62,56,51,52,50,48,94,77,59,29.80,29.67,29.50,6,6,6,16,9,,0.00,3,,339
2007-6-26,62,56,51,55,52,50,94,85,68,29.50,29.30,29.24,6,6,6,23,11,,0.00,5,Rain,338
2007-6-27,55,52,48,50,49,46,100,91,82,29.42,29.30,29.21,6,5,2,13,6,,0.00,6,,305
2007-6-28,53,50,48,48,47,45,100,84,72,29.59,29.52,29.44,6,6,6,8,4,,0.00,6,Rain,314
2007-6-29,64,54,44,50,44,37,93,64,39,29.59,29.55,29.50,6,6,6,9,5,,0.00,3,,301
2007-6-30,66,60,53,54,52,50,94,78,63,29.80,29.67,29.53,6,6,6,13,5,,0.00,3,,226
