
CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
1977-12-1,60,51,42,42,40,38,89,71,49,30.08,30.00,29.89,20,20,20,16,8,,0.00,1,,8
1977-12-2,73,57,41,57,47,38,93,73,44,30.09,29.97,29.88,20,16,7,17,6,24,0.00,2,,219
1977-12-3,75,65,55,62,58,51,100,80,60,29.92,29.85,29.77,20,13,3,18,8,22,0.00,2,Fog,202
1977-12-4,82,72,60,63,56,37,97,65,30,29.77,29.66,29.53,20,10,0,23,11,22,0.00,2,Fog,214
1977-12-5,80,63,44,45,40,31,74,51,20,30.12,29.76,29.60,20,18,10,28,10,36,0.00,0,,353
1977-12-6,48,40,33,30,22,16,65,49,33,30.50,30.34,30.12,20,20,20,22,16,32,0.00,0,,27
1977-12-7,64,49,34,58,37,21,90,62,46,30.27,30.04,29.87,20,16,10,17,5,23,0.00,5,,184
1977-12-8,78,66,48,61,57,35,90,73,53,30.07,29.81,29.73,20,14,10,23,14,32,0.00,4,,221
1977-12-9,46,40,33,34,16,10,63,41,27,30.59,30.42,30.12,20,18,15,23,19,34,0.00,3,,17
1977-12-10,46,39,32,18,12,9,42,33,25,30.63,30.53,30.44,20,18,15,15,11,,0.00,6,,64
1977-12-11,54,49,44,46,32,18,83,54,35,30.45,30.33,30.24,20,15,7,14,7,,0.00,8,,112
1977-12-12,66,57,48,64,55,46,97,89,81,30.22,30.05,29.92,10,6,4,10,7,,0.01,8,Fog-Rain,160
1977-12-13,71,63,55,65,48,28,96,60,28,30.03,29.92,29.83,20,15,5,22,11,28,0.01,2,Fog-Rain,292
1977-12-14,72,58,43,34,30,26,58,39,18,30.09,30.03,29.98,20,20,20,13,8,,0.00,0,,312
1977-12-15,72,56,39,49,38,32,77,52,29,30.01,29.91,29.80,20,20,20,16,7,,0.00,0,,189
1977-12-16,80,66,52,58,50,20,97,64,18,29.81,29.68,29.55,20,11,1,20,10,29,0.00,3,,203
1977-12-17,66,58,46,22,16,12,35,20,13,29.94,29.86,29.75,20,8,0,17,7,,0.00,0,,285
1977-12-18,75,58,42,51,31,18,72,38,19,29.95,29.86,29.77,20,12,5,17,5,24,0.00,0,,211
1977-12-19,80,66,51,55,42,27,97,59,16,30.01,29.86,29.78,15,10,0,18,7,,0.00,2,Fog,257
1977-12-20,55,48,41,28,21,12,56,37,20,30.38,30.25,30.03,15,15,15,24,18,32,0.00,2,,2
1977-12-21,52,44,36,19,9,-2,47,28,12,30.48,30.41,30.36,20,16,10,26,12,33,0.00,0,,311
1977-12-22,59,42,26,20,11,4,63,32,11,30.40,30.26,30.10,20,16,15,20,6,23,0.00,3,,188
1977-12-23,69,60,50,37,34,23,54,41,27,30.13,30.05,29.96,20,16,6,14,9,,0.00,6,,200
1977-12-24,80,63,46,40,35,31,66,38,19,29.97,29.90,29.83,15,15,10,16,8,,0.00,6,,250
1977-12-25,61,52,42,33,20,11,51,34,22,30.27,30.14,29.92,20,18,10,23,15,28,0.00,2,,9
1977-12-26,52,41,30,27,17,11,49,36,24,30.27,30.22,30.14,20,18,15,14,8,,0.00,5,,139
1977-12-27,53,44,34,26,23,19,70,45,26,30.40,30.30,30.25,20,13,10,14,6,,0.00,5,,69
1977-12-28,48,46,43,42,38,24,93,80,38,30.25,30.19,30.13,15,6,0,12,8,,0.15,8,Fog-Rain,91
1977-12-29,55,50,44,50,46,42,96,89,80,30.13,30.02,29.92,10,5,0,13,6,,0.08,8,Fog-Rain,61
1977-12-30,54,52,50,51,49,48,96,92,83,30.06,30.00,29.96,10,3,0,12,6,,0.00,8,Fog-Rain,140
1977-12-31,64,56,48,57,52,48,97,90,78,30.11,30.04,29.96,10,3,0,12,6,,0.00,8,Fog,178
