
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2008-4-1,79,70,61,67,59,46,84,65,46,30.17,30.02,29.86,10,9,6,14,5,21,0.00,5,,9
2008-4-2,78,69,60,66,58,49,84,72,60,30.16,30.07,29.96,10,9,5,9,4,15,T,6,Rain,83
2008-4-3,81,75,69,66,64,63,84,71,58,30.02,29.88,29.72,10,10,7,17,8,31,T,7,Rain,168
2008-4-4,71,63,55,65,57,44,87,64,40,30.01,29.84,29.71,10,9,2,16,7,24,0.14,6,Rain-Thunderstorm,337
2008-4-5,77,61,45,44,40,35,83,53,23,30.04,29.93,29.81,10,10,10,9,3,16,0.00,0,,82
2008-4-6,87,72,57,57,53,46,86,57,27,29.88,29.84,29.75,10,9,6,12,7,21,0.00,4,,170
2008-4-7,88,77,65,64,61,56,87,61,34,29.92,29.84,29.72,10,10,6,17,6,30,0.00,5,,165
2008-4-8,90,80,70,65,63,60,84,61,38,29.84,29.79,29.73,10,9,7,14,7,23,0.00,5,,168
2008-4-9,77,74,70,70,67,64,84,77,69,29.88,29.74,29.55,10,8,4,18,9,32,T,7,Rain,147
2008-4-10,86,73,59,67,54,40,90,55,20,29.73,29.64,29.50,10,8,2,21,4,43,0.29,5,Rain-Thunderstorm,183
2008-4-11,81,70,59,59,39,30,73,46,19,30.02,29.88,29.72,10,10,7,13,6,21,0.00,2,Rain,355
2008-4-12,75,63,50,42,34,26,61,40,18,30.24,30.15,30.03,10,10,10,17,5,25,0.00,0,,356
2008-4-13,76,63,49,38,31,23,61,40,19,30.34,30.27,30.21,10,10,10,16,7,24,0.00,0,,354
2008-4-14,75,58,41,34,29,25,70,44,17,30.38,30.29,30.20,10,10,10,10,3,15,0.00,0,,70
2008-4-15,80,62,43,49,40,32,65,45,25,30.25,30.15,30.03,10,10,10,16,6,26,0.00,0,,161
2008-4-16,77,66,55,56,52,48,77,62,47,30.07,29.99,29.89,10,10,10,17,8,28,0.00,6,,168
2008-4-17,84,72,59,60,58,54,78,58,37,29.93,29.86,29.76,10,9,1,20,9,31,0.93,6,Rain-Thunderstorm,170
2008-4-18,77,64,50,57,44,33,84,53,21,30.12,30.02,29.91,10,9,2,15,5,25,0.08,3,Rain-Thunderstorm,340
2008-4-19,86,68,50,46,41,35,68,43,17,30.09,30.00,29.90,10,10,10,14,4,21,0.00,0,,184
2008-4-20,80,68,55,65,57,45,79,66,52,29.96,29.88,29.78,10,10,10,14,5,23,0.00,5,,152
2008-4-21,86,78,70,68,66,64,90,71,51,29.90,29.84,29.80,10,8,3,12,5,18,T,8,Rain,172
2008-4-22,92,82,72,70,67,62,87,64,41,29.96,29.88,29.82,10,6,2,12,5,18,T,6,Rain,171
2008-4-23,90,81,72,68,65,57,84,62,40,30.01,29.92,29.78,10,8,4,20,8,31,0.00,5,,161
2008-4-24,88,80,72,66,65,63,79,63,46,29.94,29.86,29.78,10,10,10,16,8,28,0.00,6,,158
2008-4-25,85,74,63,68,65,59,84,71,58,30.02,29.88,29.81,10,8,1,15,6,26,0.74,6,Rain-Thunderstorm,180
2008-4-26,83,73,63,63,59,53,73,60,47,30.04,29.96,29.87,10,10,7,10,4,16,0.00,2,Thunderstorm,96
2008-4-27,70,63,55,63,55,42,87,71,55,30.24,30.08,29.89,10,7,0,22,9,32,1.34,6,Fog-Rain-Thunderstorm,4
2008-4-28,78,63,47,44,38,32,66,44,21,30.28,30.20,30.12,10,10,10,8,2,13,0.00,0,,331
2008-4-29,81,66,50,48,40,35,63,42,20,30.15,30.07,29.96,10,10,10,15,6,24,0.00,0,,169
2008-4-30,85,70,54,61,55,48,83,63,43,29.97,29.83,29.74,10,10,10,17,8,30,0.00,1,,175
