
CDT,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees<br />
2013-6-1,95,86,77,73,72,70,82,64,46,29.87,29.81,29.77,10,10,10,14,8,24,0.00,6,,174<br />
2013-6-2,90,79,67,72,65,56,87,61,34,30.05,29.96,29.89,10,10,8,13,4,23,0.03,4,Rain-Thunderstorm,41<br />
2013-6-3,94,79,64,64,61,59,87,60,33,29.97,29.90,29.81,10,10,10,10,2,17,0.00,0,,135<br />
2013-6-4,94,82,70,69,66,61,97,67,36,29.89,29.85,29.77,10,10,5,13,6,18,0.00,0,,155<br />
2013-6-5,94,82,70,69,66,60,90,62,33,29.89,29.83,29.72,10,10,10,16,6,23,0.00,1,,173<br />
2013-6-6,97,85,72,70,66,61,90,61,31,29.91,29.81,29.75,10,10,10,15,4,25,0.00,1,,63<br />
2013-6-7,88,79,70,64,58,49,78,52,26,29.99,29.92,29.86,10,10,10,10,4,14,0.00,2,,27<br />
2013-6-8,92,78,63,69,61,54,78,60,41,29.93,29.86,29.77,10,10,10,14,5,22,0.00,1,,152<br />
2013-6-9,90,79,68,73,70,64,90,68,46,30.01,29.90,29.82,10,9,2,13,4,22,0.16,4,Rain-Thunderstorm,181<br />
2013-6-10,96,84,71,71,68,62,93,64,34,30.00,29.94,29.88,10,10,4,13,4,21,0.00,2,,159<br />
2013-6-11,96,86,75,72,70,66,87,66,44,30.05,29.99,29.94,10,10,10,15,5,24,0.00,3,,183<br />
2013-6-12,97,86,75,75,71,66,94,68,42,30.08,30.01,29.93,10,10,4,13,7,21,0.02,4,Rain-Thunderstorm,178<br />
2013-6-13,93,85,77,74,72,68,88,77,43,30.08,30.02,29.95,10,10,9,8,5,,0.00,5,,178<br />
